Estadisticos,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.677165354330707,4.745952380952381,5.1970833333333335,4.921953125,5.604838709677419,4.709677419354839,5.504273504273504,5.162393162393163,16167.93893129771,0,0,35706.69465648855,323134.6564885496,375009.2900763359,0,3.83206106870229,0,20.677165354330707,5.549090909090909,5.300185185185185,5.390540540540541,6.252336448598131,5.897196261682243,5.485714285714286,5.0285714285714285,8043.045801526718,0,0,14995.267175572519,172643.77099236642,195682.08396946566,0,0,0,21.677165354330707,5.205094339622642,5.1716,5.131698113207547,4.528301886792453,3.9339622641509435,5.85,5.09,5038.167938931298,0,0,1499.9312977099237,204712.96946564884,211251.06870229007,0,0,0
mediana,19,5.12,5.55,5.285,6,5,6,6,0,0,0,0,0,0,0,0,0,20,5.875,5.745,5.7,6,6,6,5,0,0,0,0,0,0,0,0,0,21,5.49,5.78,5.49,4,4,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,1.7177037540643203,1.10993706385285,1.089981416720266,1.084562438416896,0.794478387832722,1.7049625966781015,1.2361224943759699,1.639792170164303,56493.45131166916,0,0,252853.64257323288,753007.7787716893,789364.8823197866,0,28.908649935684203,0,1.7177037540643203,0.9901835113528851,1.2183311563394585,1.0945383732945366,1.3394835525758542,1.801124279072696,0.9817006996718826,1.5219998411575202,43267.48818736812,0,0,97964.18817740917,682497.5455826768,691669.5007869231,0,0,0,1.7177037540643203,1.013685632947338,1.2220629354422865,1.1246243577709156,1.4488586455079298,1.4227329028486542,0.9142530206997327,1.6702688345886059,40617.806739286665,0,0,9463.669212951538,626090.641398376,632780.3816721417,0,0,0
min,18,1,1,1.03,1,0,1,0,0,0,0,0,0,0,0,0,0,19,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,20,1.05,1,1.05,2,0,1,0,0,0,0,0,0,0,0,0,0
max,26,6.13,6.35,6.1,7,6,9,9,314000,0,0,2777600,3349090,3349090,0,262,0,27,6.5,6.45,6.44,8,8,7,7,320000,0,0,997457,3939100,3939100,0,0,0,28,6.8,6.43,6.62,8,7,7,7,330000,0,0,98562,3688000,3688000,0,0,0
1rd.qt,19,4.52,4.8975,4.7425,5,4,5,5,0,0,0,0,0,0,0,0,0,20,5.385,4.915,5.155,6,5,5,5,0,0,0,0,0,0,0,0,0,21,4.95,4.4,4.725,3,3,6,4,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.37,5.785,5.552499999999999,6,6,6,6,0,0,0,0,173900,309200,0,0,0,21,6.125,6.107499999999999,6.1,7,7,6,6,0,0,0,0,0,0,0,0,0,22,5.83,6.135,5.97,6,5,6,6,0,0,0,0,0,0,0,0,0
RIC,1,0.8500000000000005,0.8875000000000002,0.8099999999999996,1,2,1,1,0,0,0,0,173900,309200,0,0,0,1,0.7400000000000002,1.192499999999999,0.9449999999999994,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0.8799999999999999,1.7349999999999994,1.245,3,2,0,2,0,0,0,0,0,0,0,0,0
asimetria,1.6955347725706988,-1.8852900720059431,-2.25474712876382,-1.9567328247310078,-2.65848256215328,-1.5190515646922635,-1.8288134945106604,-1.7241452582406862,3.5992983063354567,NA,NA,9.89926729806665,2.5817427779481736,2.398102928467743,NA,7.870266510890902,NA,1.6955347725706988,-2.4002179538230726,-2.084181808733129,-2.106148280961443,-0.8815382193121518,-1.3737025706043593,-1.6818828574461395,-1.9277624467770782,6.173270481806527,NA,NA,8.367205991741509,4.166111276491295,3.965887588294723,NA,NA,NA,1.6955347725706988,-1.921184847118217,-1.2846893500184482,-1.5267654366205239,0.3257934142956756,-0.061792163987241515,-2.2170642678064536,-1.4027564642735413,7.816313194480841,NA,NA,8.69500042478442,3.4002210911169124,3.3512810088201643,NA,NA,NA
curtosis,2.861465789088193,3.2725165217452554,5.230683933542922,3.6236017844089687,11.087086375482484,1.4112847038599874,4.820064442947153,2.8483056336534647,12.845801215735083,NA,NA,102.97276790371669,5.691332090796347,4.710706615194384,NA,62.08940568103728,NA,2.861465789088193,6.641486535696334,4.561453636259101,4.668084805473337,0.6716420316234482,1.8221734575821067,5.263639270441466,3.9597112870979307,39.642663766244596,NA,NA,76.52307136988338,16.836202175775327,15.411652476211263,NA,NA,NA,2.861465789088193,4.507040838278287,1.3602352721309936,2.3878093608700315,-1.2558874761600518,0.4225683574355341,7.936987794014291,1.464723982138568,59.549502680722306,NA,NA,82.8455671464555,11.551359308683121,11.11538675058828,NA,NA,NA
C.V,0.087294268413833,0.23387024874238552,0.20972944761714407,0.22035204539191866,0.14174866200180938,0.36201260614398045,0.2245750494440815,0.31764186077686,3.4941653077566857,NA,NA,7.081407142435818,2.3303219374687294,2.1049208731845166,NA,7.543890720268188,NA,0.08307249686449683,0.17844067209832465,0.22986577143471842,0.20304798100725924,0.21423727970944156,0.30542044034988663,0.17895585671102027,0.3026704229574614,5.3794904635698035,NA,NA,6.533007183559496,3.9532126856337837,3.5346593145177847,NA,NA,NA,0.0792402385638099,0.19474875320335272,0.23630267914036016,0.2191524779831551,0.3199562842163345,0.36165392734282337,0.15628256764097995,0.32814711877968683,8.062019216434171,NA,NA,6.309401788868963,3.0583828813222063,2.9953949372152078,NA,NA,NA
"NA",127,126,120,128,124,124,117,117,131,131,131,131,131,131,131,131,131,127,110,108,111,107,107,105,105,131,131,131,131,131,131,131,131,131,127,106,100,106,106,106,100,100,131,131,131,131,131,131,131,131,131
